,Network,WroRate,Method,Metric,Value
279,PROPERTY,1,PCstable$^{\triangledown}$,SHD,24
280,PROPERTY,1,PCstable$^{\triangledown}$,F1,0.3181818181818182
281,PROPERTY,1,PCstable$^{\triangledown}$,F1$^c$,0.2857142857142857
282,PROPERTY,1,PCstable$^{\triangledown}$,SHD,24
283,PROPERTY,1,PCstable$^{\triangledown}$,F1,0.3181818181818182
284,PROPERTY,1,PCstable$^{\triangledown}$,F1$^c$,0.5
285,PROPERTY,1,PCstable$^{\triangledown}$,SHD,22
286,PROPERTY,1,PCstable$^{\triangledown}$,F1,0.4
287,PROPERTY,1,PCstable$^{\triangledown}$,F1$^c$,0.9090909090909091
288,PROPERTY,1,PCstable$^{\triangledown}$,SHD,24
289,PROPERTY,1,PCstable$^{\triangledown}$,F1,0.3333333333333333
290,PROPERTY,1,PCstable$^{\triangledown}$,F1$^c$,0.5
291,PROPERTY,1,PCstable$^{\triangledown}$,SHD,25
292,PROPERTY,1,PCstable$^{\triangledown}$,F1,0.3111111111111111
293,PROPERTY,1,PCstable$^{\triangledown}$,F1$^c$,0.6666666666666666
294,PROPERTY,1,PCstable$^{\triangledown}$,SHD,24
295,PROPERTY,1,PCstable$^{\triangledown}$,F1,0.3255813953488372
296,PROPERTY,1,PCstable$^{\triangledown}$,F1$^c$,0.5
297,PROPERTY,1,PCstable$^{\triangledown}$,SHD,28
298,PROPERTY,1,PCstable$^{\triangledown}$,F1,0.18181818181818182
299,PROPERTY,1,PCstable$^{\triangledown}$,F1$^c$,0.4444444444444444
300,PROPERTY,1,GES$^{\triangledown}$,SHD,28
301,PROPERTY,1,GES$^{\triangledown}$,F1,0.17647058823529413
302,PROPERTY,1,GES$^{\triangledown}$,F1$^c$,0.5
303,PROPERTY,1,GES$^{\triangledown}$,SHD,26
304,PROPERTY,1,GES$^{\triangledown}$,F1,0.27777777777777773
305,PROPERTY,1,GES$^{\triangledown}$,F1$^c$,0.8
306,PROPERTY,1,GES$^{\triangledown}$,SHD,27
307,PROPERTY,1,GES$^{\triangledown}$,F1,0.2285714285714286
308,PROPERTY,1,GES$^{\triangledown}$,F1$^c$,0.6666666666666666
309,PROPERTY,1,GES$^{\triangledown}$,SHD,30
310,PROPERTY,1,GES$^{\triangledown}$,F1,0.06060606060606061
311,PROPERTY,1,GES$^{\triangledown}$,F1$^c$,0.2857142857142857
312,PROPERTY,1,GES$^{\triangledown}$,SHD,29
313,PROPERTY,1,GES$^{\triangledown}$,F1,0.16666666666666666
314,PROPERTY,1,GES$^{\triangledown}$,F1$^c$,0.6
315,PROPERTY,1,GES$^{\triangledown}$,SHD,25
316,PROPERTY,1,GES$^{\triangledown}$,F1,0.37209302325581395
317,PROPERTY,1,GES$^{\triangledown}$,F1$^c$,0.9090909090909091
318,PROPERTY,1,GES$^{\triangledown}$,SHD,27
319,PROPERTY,1,GES$^{\triangledown}$,F1,0.2285714285714286
320,PROPERTY,1,GES$^{\triangledown}$,F1$^c$,0.6666666666666666
321,PROPERTY,1,GES$^{\triangledown}$,SHD,28
322,PROPERTY,1,GES$^{\triangledown}$,F1,0.17647058823529413
323,PROPERTY,1,GES$^{\triangledown}$,F1$^c$,0.5
324,PROPERTY,1,GES$^{\triangledown}$,SHD,29
325,PROPERTY,1,GES$^{\triangledown}$,F1,0.1176470588235294
326,PROPERTY,1,GES$^{\triangledown}$,F1$^c$,0.5
327,PROPERTY,1,GES$^{\triangledown}$,SHD,28
328,PROPERTY,1,GES$^{\triangledown}$,F1,0.16666666666666666
329,PROPERTY,1,GES$^{\triangledown}$,F1$^c$,0.6
330,PROPERTY,1,MAHC$^{\triangledown}$,SHD,27
331,PROPERTY,1,MAHC$^{\triangledown}$,F1,0.3043478260869565
332,PROPERTY,1,MAHC$^{\triangledown}$,F1$^c$,0.5
333,PROPERTY,1,MAHC$^{\triangledown}$,SHD,27
334,PROPERTY,1,MAHC$^{\triangledown}$,F1,0.3111111111111111
335,PROPERTY,1,MAHC$^{\triangledown}$,F1$^c$,0.5
336,PROPERTY,1,MAHC$^{\triangledown}$,SHD,25
337,PROPERTY,1,MAHC$^{\triangledown}$,F1,0.34782608695652173
338,PROPERTY,1,MAHC$^{\triangledown}$,F1$^c$,0.2857142857142857
339,PROPERTY,1,MAHC$^{\triangledown}$,SHD,26
340,PROPERTY,1,MAHC$^{\triangledown}$,F1,0.34782608695652173
341,PROPERTY,1,MAHC$^{\triangledown}$,F1$^c$,0.2857142857142857
342,PROPERTY,1,MAHC$^{\triangledown}$,SHD,25
343,PROPERTY,1,MAHC$^{\triangledown}$,F1,0.4
344,PROPERTY,1,MAHC$^{\triangledown}$,F1$^c$,0.6666666666666666
345,PROPERTY,1,MAHC$^{\triangledown}$,SHD,31
346,PROPERTY,1,MAHC$^{\triangledown}$,F1,0.17391304347826086
347,PROPERTY,1,MAHC$^{\triangledown}$,F1$^c$,0.5
348,PROPERTY,1,MAHC$^{\triangledown}$,SHD,26
349,PROPERTY,1,MAHC$^{\triangledown}$,F1,0.3181818181818182
350,PROPERTY,1,MAHC$^{\triangledown}$,F1$^c$,0.5
351,PROPERTY,1,MAHC$^{\triangledown}$,SHD,27
352,PROPERTY,1,MAHC$^{\triangledown}$,F1,0.3043478260869565
353,PROPERTY,1,MAHC$^{\triangledown}$,F1$^c$,0.2857142857142857
354,PROPERTY,1,MAHC$^{\triangledown}$,SHD,23
355,PROPERTY,1,MAHC$^{\triangledown}$,F1,0.4347826086956521
356,PROPERTY,1,MAHC$^{\triangledown}$,F1$^c$,0.5
357,PROPERTY,1,MAHC$^{\triangledown}$,SHD,25
358,PROPERTY,1,MAHC$^{\triangledown}$,F1,0.34782608695652173
359,PROPERTY,1,MAHC$^{\triangledown}$,F1$^c$,0.6666666666666666
360,PROPERTY,2,UpCM,SHD,27
361,PROPERTY,2,UpCM,F1,0.26086956521739135
362,PROPERTY,2,UpCM,F1$^c$,0.6666666666666666
363,PROPERTY,2,UpCM,SHD,23
364,PROPERTY,2,UpCM,F1,0.3913043478260869
365,PROPERTY,2,UpCM,F1$^c$,0.7272727272727272
366,PROPERTY,2,UpCM,SHD,26
367,PROPERTY,2,UpCM,F1,0.375
368,PROPERTY,2,UpCM,F1$^c$,0.5714285714285715
369,PROPERTY,2,UpCM,SHD,23
370,PROPERTY,2,UpCM,F1,0.39999999999999997
371,PROPERTY,2,UpCM,F1$^c$,0.7272727272727272
372,PROPERTY,2,UpCM,SHD,28
373,PROPERTY,2,UpCM,F1,0.2857142857142857
374,PROPERTY,2,UpCM,F1$^c$,0.5
375,PROPERTY,2,UpCM,SHD,20
376,PROPERTY,2,UpCM,F1,0.5306122448979592
377,PROPERTY,2,UpCM,F1$^c$,0.6666666666666666
378,PROPERTY,2,UpCM,SHD,21
379,PROPERTY,2,UpCM,F1,0.48888888888888893
380,PROPERTY,2,UpCM,F1$^c$,0.9090909090909091
381,PROPERTY,2,UpCM,SHD,23
382,PROPERTY,2,UpCM,F1,0.375
383,PROPERTY,2,UpCM,F1$^c$,0.8333333333333334
384,PROPERTY,2,UpCM,SHD,25
385,PROPERTY,2,UpCM,F1,0.38297872340425543
386,PROPERTY,2,UpCM,F1$^c$,0.8571428571428571
387,PROPERTY,2,UpCM,SHD,25
388,PROPERTY,2,UpCM,F1,0.3043478260869565
389,PROPERTY,2,UpCM,F1$^c$,0.5454545454545454
390,PROPERTY,2,PCstable$^{\triangledown}$,SHD,23
391,PROPERTY,2,PCstable$^{\triangledown}$,F1,0.37209302325581395
392,PROPERTY,2,PCstable$^{\triangledown}$,F1$^c$,0.8
